sens2_mean,sens3_mean,sens4_mean,sens7_mean,sens8_mean,sens11_mean,sens12_mean,sens13_mean,sens15_mean,sens17_mean,sens20_mean,sens21_mean,sens2_trend,sens3_trend,sens4_trend,sens7_trend,sens8_trend,sens11_trend,sens12_trend,sens13_trend,sens15_trend,sens17_trend,sens20_trend,sens21_trend,window num,unit num,RUL,category
-0.6832755576972612,-0.34089286386891865,-0.8275599662189315,0.811782693120761,-0.7515405085104989,-0.9700912900976653,0.7964990040874258,-0.891770165796364,-0.8523662183312434,-0.6868567387068774,0.907073169739039,0.8979894165329354,0.0039039023478882663,-0.00708736937800518,0.002876618417581259,-0.0038945192687004503,0.003038377197767579,0.009853604595964014,0.00037637865095754743,0.006101582953881403,0.014053271915811625,0.003533759932133831,-0.013976835371652356,-0.010853440135508305,1,1,150.0,15
-0.6503219148777946,-0.4077004644440003,-0.8016787450385582,0.7773761904301327,-0.7273289148810635,-0.8822196778299431,0.7988134187581598,-0.8373352975875159,-0.7313677157902454,-0.6563162144018226,0.7842093385063321,0.8020727492409143,0.00274145216044054,-0.006246230813057711,0.002347320374685918,-0.0030388012930996325,0.0018669774017898014,0.007789580644020422,5.113617735086433e-05,0.0048433953720822,0.010242901287569304,0.0026230653885093037,-0.010679546084126534,-0.00840200948936621,2,1,150.0,15
-0.626939166999142,-0.46504705816835096,-0.7792974758588453,0.7495712275077537,-0.7124615495245515,-0.8123994785237592,0.7965457806537894,-0.7933016779713229,-0.6448461264797423,-0.6330510393062403,0.6911749712301799,0.7279592543324824,0.0019897233597254006,-0.005195168007858994,0.002176628017449267,-0.002574211315050586,0.001169531543182918,0.006243322003656436,-0.0005400319040632608,0.004021333235350412,0.007157889269712681,0.002078690090239372,-0.00801094258034139,-0.006492805658790429,3,1,150.0,15
-0.6090201001939775,-0.5108334026394583,-0.7568301018232058,0.7244565243781056,-0.7021988730672544,-0.755453039063317,0.7870368336962411,-0.7553080524971099,-0.5855478642958767,-0.6133980209665839,0.6216832100731765,0.6702266636519776,0.0016487159457429267,-0.0039341809624090325,0.002364541345871238,-0.002500749334553423,0.0009460396219468565,0.005214828674872078,-0.0013971255932848162,0.003635396543686177,0.004798235862241749,0.001900634037324072,-0.005971024860296816,-0.005125828643780913,4,1,150.0,15
-0.592457500594975,-0.5429602554548099,-0.7306905660750537,0.6981208010656701,-0.6918013461354633,-0.7062027063328207,0.7676273218074402,-0.718993166714202,-0.5462193431347917,-0.5936939669293071,0.5694471971979156,0.6234527090437364,0.0017184299184930258,-0.0024632696767078305,0.0029110603599518414,-0.002818415351608126,0.0011965016380816717,0.0047041006576673304,-0.002520144890313753,0.0036855852970893886,0.00316394106515652,0.0020888972297634285,-0.00455979292399285,-0.004301078444337648,5,1,142.0,14
-0.5731441543348086,-0.5593283742118934,-0.6972928117578019,0.6666527775949287,-0.6765294293554698,-0.6594708272164737,0.7356579889093129,-0.6799957661719237,-0.5196069768926307,-0.5702756847408635,0.5281800747669915,0.582215122352097,0.0021988652779757123,-0.0007824341507554167,0.0038161850596910773,-0.0035272093662145846,0.001920917591587371,0.00471113795204217,-0.003909089795150083,0.0041718994955602055,0.0022550048784569982,0.002643479667557462,-0.0037772467714294305,-0.004018555060460592,6,1,132.0,13
-0.5469728475461522,-0.5578385165081963,-0.6530507820148648,0.6261411739903633,-0.6516435833535651,-0.61007974859848,0.6884695789237851,-0.6339545964196003,-0.49845717946553625,-0.539479981947707,0.49159498494299825,0.5410916354213968,0.0030900220241910237,0.0011083256154482235,0.005079915445088974,-0.004627131378372879,0.0031192874824639166,0.005235940557996639,-0.005563960307793877,0.005094339139098471,0.002071427302143178,0.0035643813507060663,-0.0036233864026066873,-0.004278258492149822,7,1,122.0,12
-0.5098363663616797,-0.5363914399412064,-0.5943784199896556,0.5726747102764554,-0.6124042687560406,-0.5528518173630436,0.6234028357727824,-0.5765084030065564,-0.47551636474965175,-0.4976436660962906,0.4534050698885298,0.4946599800959729,0.004391900157138927,0.0032090096219031554,0.006702251516145496,-0.006118181388083053,0.004791611310711313,0.0062785084755307445,-0.007484756428245057,0.006452904227704293,0.0026132083362150503,0.004851602279209361,-0.004098211817524506,-0.0050801887394052656,8,1,112.0,11
-0.4576274969140649,-0.49288790210841116,-0.5176896688255879,0.5023421064776868,-0.5540719461891879,-0.48260938039436807,0.5377985033782309,-0.503295931482117,-0.44353094664112014,-0.44110354473306845,0.4073234717661802,0.4374978882201629,0.006104499676819438,0.005519617868609299,0.008683193272860658,-0.00800035939534502,0.006937889076329601,0.007838841704644425,-0.009671478156503615,0.008247594761377593,0.0038803479806725693,0.006505142453067237,-0.005201723016182926,-0.006424345802227018,9,1,102.0,10
-0.3862390253359821,-0.42522866060729825,-0.4193984716660751,0.41123208261853933,-0.47190707627929795,-0.3941747845766575,0.42899732566205645,-0.40995592739560693,-0.39524733903608444,-0.3661964254044939,0.34706333273854356,0.36418309163830426,0.008227820583232546,0.00804015035556668,0.011022740715234477,-0.010273665400158857,0.009558120779318722,0.009916940245337754,-0.012124125492569684,0.01047841074011841,0.005872846235515858,0.008525001872279846,-0.006933919998581937,-0.008310729680615012,10,1,92.0,9
